Table 1,,,,,,,,,
Summary of network access & call revenues by operator (£millions),,,,,,,,,
,,,,,,,,,
,All Operators,BT (exc. EE),Virgin Media,Other,,BT share  (exc. EE),,,
,All Operators,BT (exc. EE),Virgin Media,Other,,BT share (exc. EE),,,
,,,,,,,,,
UK geographic calls,,,,,,,,,
2016,"30,471","12,967","4,900","12,604",,42.60%,,,
2017,"24,705","11,392","2,746","10,567",,46.10%,,,
,,,,,,,,,
2016 Q4,"7,232","3,129","1,003","3,100",,43.30%,,,
2017 Q1,"6,842","3,046",834,"2,962",,44.50%,,,
2017 Q2,"6,109","2,745",672,"2,692",,44.90%,,,
2017 Q3,"5,832","2,654",649,"2,529",,45.50%,,,
2017 Q4,"5,921","2,947",591,"2,383",,49.80%,,,
,,,,,,,,,
International calls,,,,,,,,,
2016,"2,169",398,152,"1,619",,18.40%,,,
2017,"1,550",345,88,"1,117",,22.30%,,,
,,,,,,,,,
2016 Q4,470,94,31,345,,20.00%,,,
2017 Q1,420,89,26,305,,21.20%,,,
2017 Q2,380,81,22,277,,21.30%,,,
2017 Q3,376,75,21,280,,19.90%,,,
2017 Q4,375,100,19,256,,26.70%,,,
,,,,,,,,,
Calls to mobiles,,,,,,,,,
2016,"2,811","1,017",325,"1,469",,36.20%,,,
2017,"2,587",939,185,"1,463",,36.30%,,,
,,,,,,,,,
2016 Q4,741,248,67,426,,33.50%,,,
2017 Q1,709,240,54,415,,33.90%,,,
2017 Q2,670,227,46,397,,33.90%,,,
2017 Q3,608,223,45,340,,36.70%,,,
2017 Q4,601,249,40,312,,41.50%,,,
,,,,,,,,,
Other calls1,,,,,,,,,
2016,"7,826","3,126",686,"4,014",,39.90%,,,
2017,"6,126","2,567",399,"3,160",,41.90%,,,
,,,,,,,,,
2016 Q4,"1,786",763,137,886,,42.70%,,,
2017 Q1,"1,778",743,116,919,,41.80%,,,
2017 Q2,"1,484",579,96,809,,39.00%,,,
2017 Q3,"1,482",605,99,778,,40.80%,,,
2017 Q4,"1,382",640,88,654,,46.30%,,,
,,,,,,,,,
"1 Includes freephone, special services, premium rate, directory enquiries and all other call types.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 11,,,,,,,,,
Summary of business network access & call revenues by operator (£millions),,,,,,,,,
,,,,,,,,,
,All Operators,BT (exc. EE),Virgin Media,Other,,BT share (exc. EE),,,
,,,,,,,,,
Access & Calls1,,,,,,,,,
2016,"2,325","1,198",69,"1,058",,51.50%,,,
2017,"2,179","1,125",64,989,,51.60%,,,
,,,,,,,,,
2016 Q4,577,294,17,266,,51.00%,,,
2017 Q1,576,297,17,262,,51.50%,,,
2017 Q2,549,285,15,248,,52.00%,,,
2017 Q3,539,280,16,243,,51.90%,,,
2017 Q4,514,263,16,236,,51.10%,,,
,,,,,,,,,
Access,,,,,,,,,
2016,"1,580",873,38,669,,55.30%,,,
2017,"1,496",817,34,644,,54.60%,,,
,,,,,,,,,
2016 Q4,395,213,9,172,,54.00%,,,
2017 Q1,390,211,9,170,,54.10%,,,
2017 Q2,379,209,9,162,,55.10%,,,
2017 Q3,372,204,8,160,,54.80%,,,
2017 Q4,355,193,8,153,,54.50%,,,
,,,,,,,,,
Calls1,,,,,,,,,
2016,745,325,31,389,,43.60%,,,
2017,682,308,30,345,,45.10%,,,
,,,,,,,,,
2016 Q4,182,82,7,93,,44.70%,,,
2017 Q1,186,86,8,92,,46.00%,,,
2017 Q2,170,77,7,86,,45.10%,,,
2017 Q3,167,76,7,84,,45.50%,,,
2017 Q4,160,69,7,83,,43.50%,,,
,,,,,,,,,
Excludes VAT; 1 Revenue figures are not intended to include subscription revenues for internet access although some element may remain.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 12,,,,,,,,,
Summary of business exchange line numbers at end of quarter by operator (000's),,,,,,,,,
,,,,,,,,,
,All Operators,BT (exc. EE),Virgin Media,Other,,BT share (exc. EE),,,
,,,,,,,,,
2016,"7,083","2,983",511,"3,589",,42.10%,,,
2017,"6,437","2,697",401,"3,339",,41.90%,,,
,,,,,,,,,
2016 Q4,"7,083","2,983",511,"3,589",,42.10%,,,
2017 Q1,"6,904","2,910",421,"3,573",,42.20%,,,
2017 Q2,"6,738","2,843",410,"3,485",,42.20%,,,
2017 Q3,"6,591","2,777",407,"3,406",,42.10%,,,
2017 Q4,"6,437","2,697",401,"3,339",,41.90%,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 13,,,,,,,,,
Summary of business call volumes by operator (millions of minutes),,,,,,,,,
,,,,,,,,,
,All Operators,BT (exc. EE)1,Virgin Media,Other Direct Access,Other Indirect Access,BT share (exc. EE),,,
,,,,,,,,,
2016,"21,544","7,663","1,160","6,662","6,059",35.60%,,,
2017,"18,614","6,690","1,065","5,491","5,368",35.90%,,,
,,,,,,,,,
2016 Q4,"5,101","1,804",267,"1,593","1,437",35.40%,,,
2017 Q1,"5,100","1,832",280,"1,513","1,475",35.90%,,,
2017 Q2,"4,622","1,670",234,"1,388","1,330",36.10%,,,
2017 Q3,"4,540","1,632",277,"1,320","1,311",35.90%,,,
2017 Q4,"4,351","1,556",274,"1,270","1,251",35.80%,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 14,,,,,,,,,
Summary of business call revenues by call type (£millions),,,,,,,,,
,,,,,,,,,
,All calls,UK geographic calls,International calls,Calls to mobiles,Other calls1,,,,
,,,,,,,,,
2016,745,198,77,259,211,,,,
2017,682,189,68,213,212,,,,
,,,,,,,,,
2016 Q4,182,51,18,61,52,,,,
2017 Q1,186,54,20,60,53,,,,
2017 Q2,170,47,17,53,53,,,,
2017 Q3,167,47,16,51,53,,,,
2017 Q4,160,42,15,49,53,,,,
,,,,,,,,,
"Excludes VAT; 1 Includes freephone, special services, premium rate, directory enquiries and all other call types. Figures are not intended to include subscription revenues for internet access although some element may remain.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 15,,,,,,,,,
Summary of business call volumes by call type and operator (millions of minutes),,,,,,,,,
,,,,,,,,,
,All Operators,BT (exc. EE),Virgin Media,Other Direct Access,Other Indirect Access,BT share (exc. EE),,,
,,,,,,,,,
UK geographic calls,,,,,,,,,
2016,"11,456","4,011",674,"3,537","3,234",35.00%,,,
2017,"9,988","3,522",592,"2,986","2,887",35.30%,,,
,,,,,,,,,
2016 Q4,"2,713",946,152,845,771,34.90%,,,
2017 Q1,"2,734",971,160,822,781,35.50%,,,
2017 Q2,"2,483",885,129,752,716,35.60%,,,
2017 Q3,"2,434",859,151,726,699,35.30%,,,
2017 Q4,"2,337",807,152,686,692,34.50%,,,
,,,,,,,,,
International calls,,,,,,,,,
2016,"1,131",277,21,622,211,24.50%,,,
2017,964,231,19,562,152,24.00%,,,
,,,,,,,,,
2016 Q4,265,63,5,147,50,23.80%,,,
2017 Q1,257,64,5,142,46,24.90%,,,
2017 Q2,243,59,4,143,37,24.30%,,,
2017 Q3,236,55,5,140,36,23.30%,,,
2017 Q4,228,53,5,137,34,23.20%,,,
,,,,,,,,,
Calls to mobiles,,,,,,,,,
2016,"4,069","1,508",308,939,"1,314",37.10%,,,
2017,"3,665","1,365",323,782,"1,195",37.20%,,,
,,,,,,,,,
2016 Q4,977,355,75,234,312,36.30%,,,
2017 Q1,976,361,80,215,320,37.00%,,,
2017 Q2,911,344,73,199,295,37.80%,,,
2017 Q3,902,336,86,187,293,37.20%,,,
2017 Q4,877,324,84,181,287,37.00%,,,
,,,,,,,,,
Other calls*,,,,,,,,,
2016,"4,888","1,867",157,"1,564","1,300",38.20%,,,
2017,"3,997","1,572",131,"1,161","1,133",39.30%,,,
,,,,,,,,,
2016 Q4,"1,146",440,35,367,304,38.40%,,,
2017 Q1,"1,134",436,35,334,329,38.50%,,,
2017 Q2,986,382,28,294,282,38.70%,,,
2017 Q3,968,382,35,267,284,39.50%,,,
2017 Q4,910,372,33,266,239,40.90%,,,
,,,,,,,,,
"1 Includes freephone, special services, premium rate, directory enquiries and all other call types.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 16,,,,,,,,,
Summary of residential and small business broadband connections at end of quarter (000's)1,,,,,,,,,
,,,,,,,,,
,Total,ADSL,Cable,Other (inc. FTTx),,BT retail share        (ex. EE),,,
,,,,,,,,,
2016,"25,470","13,550","4,924","6,996",,32.50%,,,
2017,"26,016","12,122","5,110","8,784",,35.90%,,,
,,,,,,,,,
2016 Q4,"25,470","13,550","4,924","6,996",,32.50%,,,
2017 Q1,"25,624","13,174","5,003","7,446",,32.20%,,,
2017 Q2,"25,732","12,824","5,032","7,876",,32.10%,,,
2017 Q3,"25,887","12,415","5,079","8,393",,31.90%,,,
2017 Q4,"26,016","12,122","5,110","8,784",,35.90%,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Mobile,,,,,,,,,
,,,,,,,,,
Table 1,,,,,,,,,
Estimated retail revenues generated by mobile telephony (£millions),,,,,,,,,
,,,,,,,,,
,Total,Access and bundled svcs,UK fixed calls,On-net mobile calls,Off-net mobile calls,Int'l calls,Other calls,SMS and MMS,Data services
2016,"15,365","10,883",313,280,364,453,586,713,"1,772"
2017,"15,567","11,550",253,243,296,415,437,642,"1,731"
,,,,,,,,,
2016 Q4,"3,884","2,776",75,71,87,114,132,178,451
2017 Q1,"3,821","2,816",67,62,74,103,119,162,416
2017 Q2,"3,857","2,843",65,61,75,104,115,161,433
2017 Q3,"3,960","2,939",63,60,76,107,105,160,448
2017 Q4,"3,929","2,952",56,59,70,101,99,159,433
,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from providers; excludes revenues from interconnection.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 2,,,,,,,,,
Call and message volumes by call type (billions of minutes/messages),,,,,,,,,
,,,,,,,,,
,All calls,UK fixed calls,On-net mobile calls,Off-net mobile calls,Int'l calls,Calls when roaming,Other calls,,SMS & MMS messages
,,,,,,,,,
2016,151.17,33.78,42.98,60.65,5.94,2.28,5.54,,90.95
2017,148.64,32.59,43.85,59.53,4.72,2.48,5.47,,77.23
,,,,,,,,,
2016 Q4,38.76,8.61,11.33,15.47,1.36,0.57,1.43,,22.2
2017 Q1,38.37,8.63,11.41,15.08,1.26,0.52,1.48,,20.61
2017 Q2,36.07,8.02,10.77,14.09,1.19,0.63,1.37,,19.25
2017 Q3,37.58,8.25,10.73,15.27,1.17,0.78,1.38,,19.1
2017 Q4,36.61,7.69,10.94,15.09,1.1,0.55,1.23,,18.39
,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from providers,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 3,,,,,,,,,
Subscriber numbers by type (millions),,,,,,,,,
,,,,,,,,,
,Conns during period,,Total subs at end of period,Post-pay subs at end of period,Pre-pay subs at end of period,Net change during period,Proportion post-pay,,Mobile b'band subs at end of period
2016,29.28,,83.91,54.44,29.47,-1.24,64.90%,,4.98
2017,28.62,,84.19,56.56,27.63,0.28,67.20%,,5.02
,,,,,,,,,
2016 Q4,7.63,,83.91,54.44,29.47,-0.25,64.90%,,4.98
2017 Q1,6.67,,83.8,54.82,28.98,-0.11,65.40%,,5
2017 Q2,6.8,,83.89,55.24,28.65,0.09,65.80%,,4.96
2017 Q3,7.65,,84.46,55.91,28.55,0.57,66.20%,,4.94
2017 Q4,7.5,,84.19,56.56,27.63,-0.27,67.20%,,5.02
,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from providers; excludes M2M connections.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 4,,,,,,,,,
Average monthly retail revenue per subscriber (£ per month),,,,,,,,,
,,,,,,,,,
,,All subscribers,,Post-pay contract,Pre-pay,,,,
2016,,15.25,,21.25,4.83,,,,
2017,,15.43,,20.93,4.83,,,,
,,,,,,,,,
2016 Q4,,15.41,,21.18,4.99,,,,
2017 Q1,,15.19,,20.81,4.68,,,,
2017 Q2,,15.33,,20.85,4.8,,,,
2017 Q3,,15.68,,21.15,5.05,,,,
2017 Q4,,15.53,,20.91,4.77,,,,
,,,,,,,,,
Note: Revenues are only from those services detailed in Table 1 and do not include those generated by incoming calls or VAT.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 5,,,,,,,,,
Interconnection call volumes (billions of minutes),,,,,,,,,
,,,,,,,,,
,,All operators,,,,,,,
,,,,,,,,,
2016,,56.04,,,,,,,
2017,,57.92,,,,,,,
,,,,,,,,,
2016 Q4,,15.41,,,,,,,
2017 Q1,,14.66,,,,,,,
2017 Q2,,13.91,,,,,,,
2017 Q3,,14.45,,,,,,,
2017 Q4,,14.9,,,,,,,
,,,,,,,,,
Note: Shows the number of call minutes terminating on mobile networks which originate on other networks,,,,,,,,,
